MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_CONFIRMED_DEATH_COUNT,COVID_PROBABLE_DEATH_COUNT,COVID_DEATH_COUNT,COVID_CONFIRMED_DEATH_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,COUNT_POSITIVE
11368,Corona/North Corona,Queens,11368,40.749594,-73.852604,28895.00,4281.00,33176.00,26180.17,30058.95,110369.78,585.00,65.00,650.00,530.04,588.93,23.42,118382.00,27725.06
11385,Glendale/Ridgewood,Queens,11385,40.701058,-73.890159,27364.00,4170.00,31534.00,26409.26,30433.76,103615.19,290.00,41.00,331.00,279.88,319.45,27.62,93984.00,25958.38
11373,Elmhurst,Queens,11373,40.738823,-73.8785,26873.00,4137.00,31010.00,29319.51,33833.14,91655.70,411.00,73.00,484.00,448.42,528.06,25.11,102449.00,25724.94
11377,Woodside,Queens,11377,40.744823,-73.90516,24528.00,4160.00,28688.00,29183.29,34132.83,84048.11,350.00,64.00,414.00,416.43,492.58,25.46,92289.00,23496.78
11355,Flushing/Murray Hill/Queensboro Hill,Queens,11355,40.751459,-73.821014,20372.00,3210.00,23582.00,25835.45,29906.32,78852.89,399.00,64.00,463.00,506.01,587.17,25.01,78751.00,19695.63
11691,Edgemere/Far Rockaway,Queens,11691,40.60133,-73.761357,18843.00,1805.00,20648.00,28184.33,30884.15,66856.31,541.00,79.00,620.00,809.20,927.36,26.82,67905.00,18212.12
11372,Jackson Heights,Queens,11372,40.75169,-73.883634,17810.00,3077.00,20887.00,29349.38,34420.01,60682.72,382.00,48.00,430.00,629.50,708.60,24.14,70206.00,16947.73
11375,Forest Hills,Queens,11375,40.720931,-73.846184,16339.00,2666.00,19005.00,22926.62,26667.50,71266.52,344.00,32.00,376.00,482.70,527.60,23.34,66842.00,15600.92
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,11434,40.656866,-73.783386,15833.00,2901.00,18734.00,23715.10,28060.30,66763.37,327.00,50.00,377.00,489.79,564.68,23.80,63874.00,15202.01
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,11432,40.715359,-73.793064,15334.00,2428.00,17762.00,25239.20,29235.59,60754.71,382.00,64.00,446.00,628.76,734.10,23.02,63989.00,14730.27
11435,Briarwood/Jamaica,Queens,11435,40.701291,-73.809618,13678.00,2936.00,16614.00,23415.20,28441.30,58415.04,263.00,34.00,297.00,450.23,508.43,24.15,54276.00,13107.65
11354,Flushing/Murray Hill,Queens,11354,40.76863,-73.827229,12865.00,2331.00,15196.00,23859.93,28183.10,53918.85,486.00,50.00,536.00,901.35,994.09,23.17,54363.00,12595.91
11421,Woodhaven,Queens,11421,40.69405,-73.85867,12791.00,1438.00,14229.00,31937.98,35528.53,40049.50,186.00,17.00,203.00,464.43,506.87,30.07,40399.00,12147.98
11419,Richmond Hill/South Ozone Park,Queens,11419,40.688676,-73.822901,12711.00,1887.00,14598.00,26205.59,30095.92,48504.92,199.00,27.00,226.00,410.27,465.93,26.11,46753.00,12207.21
11420,South Ozone Park,Queens,11420,40.673518,-73.817812,12563.00,1859.00,14422.00,26263.17,30149.44,47835.06,203.00,21.00,224.00,424.37,468.28,26.37,45457.00,11987.01
11374,Rego Park,Queens,11374,40.726441,-73.861497,11918.00,1747.00,13665.00,28791.79,33012.24,41393.74,190.00,19.00,209.00,459.01,504.91,25.98,43481.00,11296.36
11101,Astoria (South)/Long Island City/Sunnyside,Queens,11101,40.747077,-73.938586,11443.00,2491.00,13934.00,31065.11,37827.60,36835.54,86.00,22.00,108.00,233.47,293.20,19.54,55837.00,10910.55
11369,Airport/East Elmhurst,Queens,11369,40.768944,-73.872812,10991.00,1857.00,12848.00,32684.32,38206.55,33627.74,242.00,46.00,288.00,719.64,856.44,24.85,42095.00,10460.61
11103,Astoria (North)/Astoria (South),Queens,11103,40.762536,-73.913541,10394.00,2303.00,12697.00,29750.37,36342.16,34937.39,112.00,21.00,133.00,320.57,380.68,25.14,39202.00,9855.38
11418,Richmond Hill,Queens,11418,40.700236,-73.836062,10289.00,1304.00,11593.00,27374.85,30844.26,37585.60,154.00,15.00,169.00,409.73,449.64,26.91,36405.00,9796.59
11413,Laurelton/Rosedale,Queens,11413,40.669738,-73.750842,10028.00,1633.00,11661.00,23209.27,26988.76,43206.88,182.00,18.00,200.00,421.23,462.89,25.15,37993.00,9555.24
11412,St. Albans,Queens,11412,40.698095,-73.758984,9856.00,1526.00,11382.00,25870.41,29875.91,38097.58,153.00,16.00,169.00,401.60,443.60,25.74,36123.00,9298.06
11106,Astoria (South),Queens,11106,40.761792,-73.931771,9778.00,1861.00,11639.00,26124.39,31096.52,37428.62,122.00,30.00,152.00,325.95,406.11,23.56,39656.00,9342.95
11367,Kew Gardens Hills/Pomonok,Queens,11367,40.730383,-73.826297,9718.00,2372.00,12090.00,23891.22,29722.66,40676.04,133.00,16.00,149.00,326.97,366.31,23.78,38790.00,9224.26
