MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_CONFIRMED_DEATH_COUNT,COVID_PROBABLE_DEATH_COUNT,COVID_DEATH_COUNT,COVID_CONFIRMED_DEATH_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,COUNT_POSITIVE
11004,Bellerose/Douglaston-Little Neck,Queens,"11004, 11005",40.748068,-73.710907,3778,632,4410,19937.21,23272.39,18949.5,105,31,136,554.1,717.7,20.46,19159,3919.9314
11101,Astoria (South)/Long Island City/Sunnyside,Queens,11101,40.747077,-73.938586,11070,2419,13489,30052.5,36619.52,36835.54,86,22,108,233.47,293.2,19.15,55316,10593.014000000001
11102,Astoria (North),Queens,11102,40.772498,-73.925912,8321,1928,10249,27695.35,34112.45,30044.75,151,35,186,502.58,619.08,23.06,34517,7959.6202
11103,Astoria (North)/Astoria (South),Queens,11103,40.762536,-73.913541,10141,2240,12381,29026.21,35437.68,34937.39,111,21,132,317.71,377.82,24.8,38882,9642.736
11104,Sunnyside,Queens,11104,40.744658,-73.920205,6107,1243,7350,24008.26,28894.83,25437.08,78,16,94,306.64,369.54,22.66,25813,5849.2258
11105,Ditmars Steinway,Queens,11105,40.778969,-73.906286,8196,2807,11003,22647.23,30403.55,36189.85,126,22,148,348.16,408.95,23.38,33855,7915.299
11106,Astoria (South),Queens,11106,40.761792,-73.931771,9552,1807,11359,25520.58,30348.43,37428.62,122,30,152,325.95,406.11,23.31,39345,9171.3195
11109,Long Island City,Queens,11109,40.746211,-73.956999,1626,179,1805,28215.67,31321.82,5762.76,3,0,3,52.06,52.06,20.14,7586,1527.8204000000003
11354,Flushing/Murray Hill,Queens,11354,40.76863,-73.827229,12600,2271,14871,23368.45,27580.34,53918.85,485,49,534,899.5,990.38,22.94,53894,12363.2836
11355,Flushing/Murray Hill/Queensboro Hill,Queens,11355,40.751459,-73.821014,20005,3157,23162,25370.03,29373.68,78852.89,395,62,457,500.93,579.56,24.82,78106,19385.909200000002
11356,College Point,Queens,11356,40.784867,-73.841495,6279,1374,7653,27522.55,33545.17,22814.02,75,4,79,328.75,346.28,24.74,24450,6048.929999999999
11357,Whitestone,Queens,11357,40.78639,-73.810964,9497,1952,11449,24530.69,29572.7,38714.77,180,24,204,464.94,526.93,25.04,36615,9168.396
11358,Auburndale/Murray Hill,Queens,11358,40.760475,-73.79637,7821,1993,9814,21710.16,27242.48,36024.61,107,13,120,297.02,333.11,22.47,33392,7503.1824
11360,Bayside (North),Queens,11360,40.78205,-73.7808,3770,837,4607,19794.82,24189.58,19045.39,77,11,88,404.3,462.05,22.16,16481,3652.1896
11361,Bayside (North)/Bayside (South),Queens,11361,40.763748,-73.772419,5615,1531,7146,21292.65,27098.36,26370.6,118,21,139,447.47,527.1,22.17,24681,5471.777700000001
11362,Douglaston-Little Neck,Queens,11362,40.756533,-73.736995,3423,918,4341,18909.81,23981.15,18101.72,82,10,92,453,508.24,21.69,15333,3325.7277000000004
