MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_CONFIRMED_DEATH_COUNT,COVID_PROBABLE_DEATH_COUNT,COVID_DEATH_COUNT,COVID_CONFIRMED_DEATH_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,COUNT_POSITIVE
11697,Breezy Point,Queens,11697,40.55907,-73.907199,1410,208,1618,41560.84,47691.8,3392.62,18,3,21,530.56,618.99,28.81,4502,1297.0261999999998
11369,Airport/East Elmhurst,Queens,11369,40.768944,-73.872812,10991,1857,12848,32684.32,38206.55,33627.74,242,46,288,719.64,856.44,24.85,42095,10460.607500000002
11101,Astoria (South)/Long Island City/Sunnyside,Queens,11101,40.747077,-73.938586,11443,2491,13934,31065.11,37827.6,36835.54,86,22,108,233.47,293.2,19.54,55837,10910.549799999999
11103,Astoria (North)/Astoria (South),Queens,11103,40.762536,-73.913541,10394,2303,12697,29750.37,36342.16,34937.39,112,21,133,320.57,380.68,25.14,39202,9855.382800000001
11421,Woodhaven,Queens,11421,40.69405,-73.85867,12791,1438,14229,31937.98,35528.53,40049.5,186,17,203,464.43,506.87,30.07,40399,12147.9793
11102,Astoria (North),Queens,11102,40.772498,-73.925912,8524,1967,10491,28371.01,34917.91,30044.75,152,35,187,505.91,622.4,23.39,34787,8136.6793
11372,Jackson Heights,Queens,11372,40.75169,-73.883634,17810,3077,20887,29349.38,34420.01,60682.72,382,48,430,629.5,708.6,24.14,70206,16947.7284
11356,College Point,Queens,11356,40.784867,-73.841495,6391,1401,7792,28013.48,34154.44,22814.02,75,4,79,328.75,346.28,24.94,24627,6141.973800000001
11417,Ozone Park,Queens,11417,40.676457,-73.844522,8917,1682,10599,28726.21,34144.79,31041.34,112,8,120,360.81,386.58,27.76,30487,8463.191200000001
11377,Woodside,Queens,11377,40.744823,-73.90516,24528,4160,28688,29183.29,34132.83,84048.11,350,64,414,416.43,492.58,25.46,92289,23496.7794
