MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_CONFIRMED_DEATH_COUNT,COVID_PROBABLE_DEATH_COUNT,COVID_DEATH_COUNT,COVID_CONFIRMED_DEATH_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,COUNT_POSITIVE
11368,Corona/North Corona,Queens,11368,40.749594,-73.852604,28895,4281,33176,26180.17,30058.95,110369.78,585,65,650,530.04,588.93,23.42,118382,27725.064400000003
11385,Glendale/Ridgewood,Queens,11385,40.701058,-73.890159,27364,4170,31534,26409.26,30433.76,103615.19,290,41,331,279.88,319.45,27.62,93984,25958.3808
11373,Elmhurst,Queens,11373,40.738823,-73.8785,26873,4137,31010,29319.51,33833.14,91655.7,411,73,484,448.42,528.06,25.11,102449,25724.9439
11377,Woodside,Queens,11377,40.744823,-73.90516,24528,4160,28688,29183.29,34132.83,84048.11,350,64,414,416.43,492.58,25.46,92289,23496.7794
11355,Flushing/Murray Hill/Queensboro Hill,Queens,11355,40.751459,-73.821014,20372,3210,23582,25835.45,29906.32,78852.89,399,64,463,506.01,587.17,25.01,78751,19695.625100000005
11691,Edgemere/Far Rockaway,Queens,11691,40.60133,-73.761357,18843,1805,20648,28184.33,30884.15,66856.31,541,79,620,809.2,927.36,26.82,67905,18212.121
11372,Jackson Heights,Queens,11372,40.75169,-73.883634,17810,3077,20887,29349.38,34420.01,60682.72,382,48,430,629.5,708.6,24.14,70206,16947.7284
11375,Forest Hills,Queens,11375,40.720931,-73.846184,16339,2666,19005,22926.62,26667.5,71266.52,344,32,376,482.7,527.6,23.34,66842,15600.9228
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,11434,40.656866,-73.783386,15833,2901,18734,23715.1,28060.3,66763.37,327,50,377,489.79,564.68,23.8,63874,15202.012
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,11432,40.715359,-73.793064,15334,2428,17762,25239.2,29235.59,60754.71,382,64,446,628.76,734.1,23.02,63989,14730.2678
